decision_id,Brand,Finding,Module,Date discovered,Evidence source,Impact,Commercial relevance,SEO relevance,GEO relevance,Confidence,Estimated effort,Estimated time-to-signal,Experiment contamination risk,Reversible?,Proposed action,Action class,Opportunity score,Score inputs (R/I/BV/C/E),Status,Approved?,Deployment batch,Deployment date,Measurement date,Outcome
DQ-001,Modest,"Canonical brand string is undecided: Modest vs MOD#$T vs Modest Streetwear Apparel Inc. Schema, citations, directories and entity resolution all hard-code a name string; deciding later means redoing all of them.",ECOM_01 / AUTH_04,2026-08-22,Owner directive 2026-08-22; OS bootstrap analysis,high,high,high,high,high,low,n/a - decision not intervention,none - decision only,yes,"Owner decides the canonical string for structured data and citations. Record in context lock. Blocks ECOM_01, AUTH_04 and all Modest entity work.",RESEARCH NOW,100.0,5/4/5/5/1,open,no,,,,
DQ-002,Modest,Notable-wearer evidence status is unresolved. Claims exist without established corroboration.,AUTH_02 / AUTH_05,2026-08-22,Owner directive 2026-08-22,high,medium,medium,high,low,medium,n/a,none - research only,yes,"Trace each claim to its information origin per AUTH_02. Do not publish, imply, or mark up any claim until classified confirmed. Unverified association claims about real people carry factual and legal risk.",RESEARCH NOW,20.0,3/2/5/2/3,open,no,,,,
DQ-003,Fendi Frost,"Entity collision with the Fendi fashion house is unmeasured. Until bare-name resolution rate is known, no other Fendi Frost metric is interpretable.",ARTIST_01,2026-08-22,OS bootstrap analysis; context lock,high,high,medium,high,medium,medium,30-60 days,none - observation only,yes,Run ARTIST_01 to establish bare-name resolution rate per surface. This is the headline baseline for the brand.,RESEARCH NOW,41.7,5/3/5/3/3,open,no,,,,
DQ-004,Boltz,Batch 1 definition and baseline are not recorded in the experiment registry. Without them no Boltz finding can honestly answer EXPERIMENT CONFLICT?,n/a - system gap,2026-08-22,OS bootstrap; EXPERIMENT_REGISTRY.csv,high,high,high,medium,high,low,immediate,n/a,yes,"Import the Batch 1 intervention set, baseline date, checkpoints and success criteria from prior research into EXPERIMENT_REGISTRY.csv. Blocks promotion of every Boltz finding past RESEARCH NOW.",RESEARCH NOW,125.0,5/5/5/5/1,open,no,,,,
DQ-005,Fendi Frost,I1a experiment definition and baseline are not recorded in the experiment registry.,n/a - system gap,2026-08-22,OS bootstrap; owner directive,high,medium,medium,high,high,low,immediate,n/a,yes,"Import the I1a intervention set, baseline date, checkpoints and success criteria into EXPERIMENT_REGISTRY.csv.",RESEARCH NOW,100.0,5/4/5/5/1,open,no,,,,
DQ-006,Modest,"The 2026-08-19 immutable baseline exists but is not stored in this OS, so no Modest measurement can be diffed against it.",n/a - system gap,2026-08-22,Owner directive 2026-08-22,high,high,high,high,high,low,immediate,n/a,yes,Import the 2026-08-19 baseline verbatim into 04_MEASUREMENT/baselines/ as a read-only artifact. Never re-derive or edit it.,RESEARCH NOW,125.0,5/5/5/5/1,open,no,,,,
DQ-007,Modest,"Proposed Batch 1 contents are not recorded, so contamination checks on Modest modules cannot be answered.",n/a - system gap,2026-08-22,Owner directive 2026-08-22,high,high,medium,medium,high,low,immediate,n/a,yes,Record proposed Batch 1 surfaces in EXPERIMENT_REGISTRY.csv as status=proposed. Confirms what must not be touched pre-approval.,RESEARCH NOW,100.0,5/4/5/5/1,open,no,,,,
DQ-008,Boltz,"GSC and GA access status is unconfirmed. WEB_02, WEB_04 and WEB_06 cannot run without it, and no organic baseline can be established.",WEB_02,2026-08-22,OS bootstrap; context lock open question 2,high,high,high,low,high,low,immediate,none,yes,Confirm access and history window with the owner. Blocks three website modules and all organic reporting.,RESEARCH NOW,100.0,5/4/5/5/1,open,no,,,,
DQ-009,Boltz,Lead instrumentation is undefined - how a lead is recorded and whether engine work can be attributed. Every BusinessValue score and the entire monthly report depend on it.,n/a - measurement gap,2026-08-22,OS bootstrap; context lock open question 3,high,high,low,low,high,medium,immediate,none,yes,Define the lead-to-completed-engine-job funnel and confirm what is actually instrumented today. Without this the KPI chain is unmeasurable.,RESEARCH NOW,41.7,5/5/5/5/3,open,no,,,,
DQ-010,Boltz,EXIF geotagging (UC-03) is untested and may be mechanically dead if the platform strips EXIF on upload. Currently an open belief consuming attention.,LSEO_07,2026-08-22,UNVERIFIED_CLAIMS_REGISTER UC-03,low,low,low,low,medium,low,immediate,none - one test image,yes,"Upload one test image with known EXIF, re-download, inspect whether EXIF survived. If stripped, close UC-03 as REJECT permanently with evidence. Minutes of work to close a recurring question.",RESEARCH NOW,30.0,2/2/3/3/1.8,open,no,,,,
DQ-011,Boltz,GBP primary category may not match the primary growth target (engine replacement). Unverified - current category is unknown.,LSEO_01,2026-08-22,OS bootstrap; context lock,high,high,high,medium,low,low,n/a until observed,HIGH - category change would contaminate Batch 1,yes but slow to recover,Observe and record current categories only. Do not change. Any category proposal is HOLD FOR EXPERIMENT until Batch 1 reads out.,HOLD FOR EXPERIMENT,41.7,5/5/5/1/3,open,no,,,,
DQ-012,All,"No competitor set is defined for any brand, with the inclusion basis stated. AUTH_01, GEO_05 and all dossiers depend on it, and an undefined set makes share-of-voice unfalsifiable.",AUTH_01 / GEO_05,2026-08-22,OS bootstrap,medium,medium,medium,high,high,medium,immediate,none,yes,Define and freeze a competitor set per brand with the inclusion basis recorded (proximity / service overlap / SERP occupancy). Version it - changing it mid-series invalidates trends.,RESEARCH NOW,27.8,4/3/4/5/3,open,no,,,,
DQ-013,All,"No AI visibility panel exists, so there is no GEO baseline for any brand and no instrument to measure against.",GEO_01,2026-08-22,OS bootstrap,high,medium,low,high,high,medium,30 days to first trend,none - observation only,yes,"Build and freeze prompt panel v1 per brand (20-40 prompts), run the first clean-session baseline, store verbatim transcripts.",RESEARCH NOW,41.7,5/3/5/5/3,open,no,,,,
DQ-014,Modest,"Ecommerce platform and product feed status are unknown, blocking ECOM_06 entirely and constraining ECOM_01.",ECOM_06,2026-08-22,Context lock open questions 5 and 6,medium,high,medium,medium,high,low,immediate,none,yes,Confirm platform and whether a Merchant Center or equivalent feed exists and how it is generated.,RESEARCH NOW,100.0,4/5/5/5/1,open,no,,,,
DQ-015,Modest,Whether local modules (LSEO_*) apply at all is unresolved - no confirmation of a physical or retail presence in Chicago.,n/a - scoping,2026-08-22,Context lock open question 7,medium,medium,medium,low,high,low,immediate,none,yes,Confirm with owner whether Modest has a physical presence. Determines whether eight local modules are in scope or out.,RESEARCH NOW,60.0,3/4/4/5/1,open,no,,,,
DQ-016,Fendi Frost,"Verified catalog does not exist in any authoritative form here. Every entity accuracy measurement depends on it, and the risk of filling it from memory is severe.",ARTIST_02,2026-08-22,Context lock open question 3,high,medium,low,high,high,medium,immediate,none,yes,"Build the verified catalog from primary sources only (distributor, official profiles, rights databases). Record unverifiable items as unverified. Never fill from model memory.",RESEARCH NOW,41.7,5/3/5/5/3,open,no,,,,
DQ-017,Fendi Frost,"Runway Music's formal status (label / imprint / collective / positioning term) is undefined, and correct schema and rights treatment differ for each.",ARTIST_05,2026-08-22,Context lock open question 4,medium,medium,medium,high,high,low,immediate,none,yes,"Owner clarifies formal status before any registration, schema or directory representation is proposed.",RESEARCH NOW,60.0,3/3/5/4/1,open,no,,,,
DQ-018,All,Cross-entity Fendi Frost / Modest work is held pending I1a readout. Recorded so it is not re-proposed each session.,n/a - standing hold,2026-08-22,Owner directive 2026-08-22,medium,medium,medium,high,high,low,n/a,HIGH - would confound both entities simultaneously,yes,"No cross-linking, cross-referencing or shared-entity work until I1a reads out and Modest baseline is stable. Standing hold.",HOLD FOR EXPERIMENT,0.0,n/a - hold,open,no,,,,
